4FF5,俵,10
4FF8,俸,10
4FFA,俺,10
5009,倉,10
500B,個,10
500D,倍,10
5012,倒,10
5016,倖,10
5019,候,10
501F,借,10
5023,倣,10
5024,値,10
5026,倦,10
502B,倫,10
502D,倭,10
5039,倹,10
5049,偉,11
504F,偏,11
505C,停,11
5065,健,11
5072,偲,11
5074,側,11
5075,偵,11
5076,偶,11
507D,偽,11
508D,傍,12
5091,傑,12
5098,傘,12
5099,備,12
50AC,催,13
50AD,傭,13
50B2,傲,12
50B3,傳,13
50B5,債,13
50B7,傷,13
50BE,傾,13
50C5,僅,12
50CD,働,13
50CF,像,14
50D5,僕,14
50DA,僚,14
50DE,僞,14
50E7,僧,13
50F9,價,15
5100,儀,15
5104,億,15
5109,儉,15
5112,儒,16
511F,償,17
512A,優,17
5132,儲,17
5141,允,4
5143,元,4
5144,兄,5
5145,充,5
5146,兆,6
5148,先,6
5149,光,6
514B,克,7
514D,免,7
514E,兎,7
5150,児,7
5152,兒,8
515A,党,10
515C,兜,11
5165,入,2
5168,全,6
516B,八,2
516C,公,4
516D,六,4
5171,共,6
5175,兵,7
5176,其,8
5177,具,8
5178,典,8
517C,兼,10
5185,内,4
5186,円,4
518A,冊,5
518D,再,6
5192,冒,9
5197,冗,4
5199,写,5
51A0,冠,9
51A5,冥,10
51A8,冨,11
51AC,冬,5
51B4,冴,6
51B6,冶,7
51B7,冷,7
51C4,凄,10
51C6,准,10
51C9,凉,10
51CC,凌,10
51CD,凍,10
51DB,凛,15
51DC,凜,15
51DD,凝,16
51E1,凡,3
51E6,処,5
51E7,凧,5
51EA,凪,6
51F0,凰,11
51F1,凱,12
51F6,凶,4
51F8,凸,5
51F9,凹,5
51FA,出,5
51FD,函,8
5200,刀,2
5203,刃,3
5206,分,4
5207,切,4
5208,刈,4
520A,刊,5
5211,刑,6
5217,列,6
521D,初,7
5224,判,7
5225,別,7
5229,利,7
5230,到,8
5236,制,8
5237,刷,8
5238,券,8
5239,刹,8
523A,刺,8
523B,刻,8
5247,則,9
524A,削,9
524D,前,9
5256,剖,10
525B,剛,10
525D,剝,10
5263,剣,10
5264,剤,10
5269,剩,12
526F,副,11
5270,剰,11
5272,割,12
5275,創,12
5287,劇,15
5289,劉,14
528D,劍,15
529B,力,2
529F,功,5
52A0,加,5
52A3,劣,6
52A9,助,7
52AA,努,7
52AB,劫,7
52B1,励,7
52B4,労,7
52B9,効,8
52BE,劾,8
52C1,勁,9
52C3,勃,9
52C5,勅,9
52C7,勇,9
52C9,勉,9
52D5,動,11
52D8,勘,11
52D9,務,10
52DD,勝,12
52DF,募,12
52E2,勢,13
52E4,勤,12
52E7,勧,13
52F2,勲,15
52F3,勳,16
52FA,勺,3
52FE,勾,4
