example_id                                                          | status | run_time        |
./spec/models/application_record_spec.rb[1:2:3]                     | passed | 0.00092 seconds |
./spec/models/application_record_spec.rb[1:3:1]                     | passed | 0.00013 seconds |
./spec/models/application_record_spec.rb[1:3:2]                     | passed | 0.00106 seconds |
./spec/models/application_record_spec.rb[1:3:3]                     | passed | 0.0024 seconds  |
./spec/models/application_record_spec.rb[1:4:1]                     | passed | 0.00138 seconds |
./spec/models/application_record_spec.rb[1:4:2]                     | passed | 0.00537 seconds |
./spec/models/application_record_spec.rb[1:5:1]                     | passed | 0.00067 seconds |
./spec/models/application_record_spec.rb[1:5:2]                     | passed | 0.0007 seconds  |
./spec/models/application_record_spec.rb[1:5:3]                     | passed | 0.00012 seconds |
./spec/models/application_record_spec.rb[1:6:1]                     | passed | 0.01266 seconds |
./spec/models/application_record_spec.rb[1:6:2]                     | passed | 0.0007 seconds  |
./spec/models/application_record_spec.rb[1:7:1]                     | passed | 0.00207 seconds |
./spec/models/application_record_spec.rb[1:7:2]                     | passed | 0.00059 seconds |
./spec/models/application_record_spec.rb[1:8:1]                     | passed | 0.0001 seconds  |
./spec/models/application_record_spec.rb[1:8:2]                     | passed | 0.00012 seconds |
./spec/models/application_record_spec.rb[1:8:3]                     | passed | 0.00011 seconds |
./spec/models/rank_master_spec.rb[1:1:1]                            | failed | 0.00011 seconds |
./spec/models/rank_master_spec.rb[1:1:2]                            | failed | 0.00012 seconds |
./spec/models/rank_master_spec.rb[1:2:1]                            | failed | 0.00013 seconds |
./spec/models/rank_master_spec.rb[1:2:2]                            | failed | 0.00018 seconds |
./spec/models/rank_master_spec.rb[1:3:1]                            | failed | 0.00012 seconds |
./spec/models/rank_master_spec.rb[1:3:2]                            | failed | 0.0001 seconds  |
./spec/models/rank_master_spec.rb[1:3:3]                            | failed | 0.00012 seconds |
./spec/models/rank_master_spec.rb[1:4:1]                            | failed | 0.00012 seconds |
./spec/models/result_comment_master_spec.rb[1:1:1]                  | passed | 0.00127 seconds |
./spec/models/result_comment_master_spec.rb[1:1:2]                  | passed | 0.00112 seconds |
./spec/models/result_comment_master_spec.rb[1:2:1]                  | passed | 0.00263 seconds |
./spec/models/result_comment_master_spec.rb[1:2:2]                  | passed | 0.0012 seconds  |
./spec/models/result_comment_master_spec.rb[1:2:3]                  | passed | 0.00389 seconds |
./spec/models/result_comment_master_spec.rb[1:2:4]                  | passed | 0.00125 seconds |
./spec/models/result_comment_master_spec.rb[1:3:1]                  | passed | 0.00174 seconds |
